text,label
Government approves rural broadband expansion project,REAL
Scientists identify new coral reef ecosystem in Pacific Ocean,REAL
State launches free health screening program for senior citizens,REAL
Researchers develop biodegradable packaging from seaweed,REAL
New metro corridor opens to reduce urban traffic congestion,REAL
Agricultural exports rise following policy reforms,REAL
University introduces AI-focused engineering curriculum,REAL
Solar energy capacity reaches record levels this quarter,REAL
City begins construction of flood-resistant drainage network,REAL
Health ministry expands vaccination coverage in remote regions,REAL
Railways announce modernization of 120 stations nationwide,REAL
Researchers discover drought-resistant crop variety,REAL
Government allocates additional funds for public schools,REAL
New wildlife sanctuary established to protect endangered species,REAL
Engineers complete restoration of historic suspension bridge,REAL
Public transport fleet adds 500 electric buses,REAL
Scientists publish study on glacier melting patterns,REAL
National literacy campaign reaches one million learners,REAL
Hospital network launches telemedicine platform,REAL
Water conservation initiative improves reservoir levels,REAL
Startup develops affordable air-quality monitoring device,REAL
Coastal cleanup drive removes tons of plastic waste,REAL
Airport introduces automated passenger screening system,REAL
Researchers create low-cost water purification technology,REAL
Government announces incentives for green manufacturing,REAL
State opens new vocational training centers,REAL
Scientists detect promising exoplanet in nearby star system,REAL
Digital payment adoption grows among small businesses,REAL
Forest department reports increase in tiger population,REAL
Infrastructure project improves connectivity in rural districts,REAL
University researchers receive grant for cancer studies,REAL
New irrigation canal benefits thousands of farmers,REAL
Weather agency upgrades cyclone forecasting systems,REAL
City launches smart street lighting program,REAL
Researchers test innovative battery storage solution,REAL
Government expands housing assistance scheme,REAL
National park records successful breeding of rare species,REAL
Healthcare workers complete large-scale awareness campaign,REAL
Railway freight operations achieve record efficiency,REAL
Renewable energy investments attract international funding,REAL
Scientists map previously unexplored ocean trench,REAL
New startup incubator supports technology entrepreneurs,REAL
Education department introduces coding courses in schools,REAL
Bridge expansion project reduces commute times significantly,REAL
Researchers study long-term effects of urbanization,REAL
Government enhances cybersecurity infrastructure,REAL
Public libraries receive major digital upgrades,REAL
Farmers adopt precision agriculture technologies,REAL
Scientists discover microorganism useful for waste treatment,REAL
State launches women-led business development initiative,REAL

Cats elected as governors in seven states simultaneously,FAKE
Dragon opens luxury resort beneath Himalayan glacier,FAKE
Aliens begin operating public buses in major cities,FAKE
Scientists confirm clouds are made of cotton candy,FAKE
Ghost elected chairman of national banking authority,FAKE
Mermaids establish underwater university near coastline,FAKE
Dinosaurs return and start organic farming business,FAKE
Moon applies for citizenship in three countries,FAKE
Flying elephants disrupt satellite communication networks,FAKE
Time traveler wins lottery using future newspapers,FAKE
Talking fish launch cryptocurrency exchange platform,FAKE
Invisible city discovered floating above desert region,FAKE
Dragons hired to patrol international borders,FAKE
Cats open interplanetary delivery service to Mars,FAKE
Aliens purchase mountain range for tourism project,FAKE
Ghost train becomes fastest transport system worldwide,FAKE
Scientists breed unicorns for urban transportation,FAKE
Mermaids start underwater stock market operations,FAKE
Trees begin producing smartphones instead of fruit,FAKE
Dinosaurs elected board members of technology firms,FAKE
Moonlight converted into commercial construction material,FAKE
Flying whales migrate across mountain ranges annually,FAKE
Alien king inaugurates shopping mall on Earth,FAKE
Dogs gain ability to speak five human languages,FAKE
Ghost city appears overnight in middle of ocean,FAKE
Dragons dominate professional cricket leagues globally,FAKE
Scientists discover portal to cartoon dimension,FAKE
Cats establish embassy on Jupiter,FAKE
Fish begin offering online university degrees,FAKE
Invisible airplanes replace all commercial aviation fleets,FAKE
Aliens patent gravity-free footwear technology,FAKE
Mermaids acquire controlling stake in major banks,FAKE
Dinosaurs launch social media platform for reptiles,FAKE
Trees receive voting rights in national elections,FAKE
Ghost wins international robotics competition,FAKE
Flying cows create traffic jams over capital city,FAKE
Moon relocates closer to Earth for tourism season,FAKE
Scientists confirm dragons evolved from helicopters,FAKE
Talking monkeys open multinational consulting company,FAKE
Alien spacecraft registered as public taxi service,FAKE
Cats discover ancient treasure on Saturn,FAKE
Fish begin managing global investment portfolios,FAKE
Ghost appointed minister of transportation,FAKE
Mermaids construct underwater amusement park,FAKE
Dinosaurs operate high-speed rail network,FAKE
Clouds start producing gold coins during rainfall,FAKE
Aliens introduce teleportation booths in villages,FAKE
Dragons become certified airline pilots,FAKE
Invisible castle found above active volcano,FAKE
Talking squirrels elected city council members,FAKE
Government inaugurates new agricultural research center,REAL
Scientists discover promising treatment for rare genetic disorder,REAL
State expands clean drinking water access to rural villages,REAL
Researchers develop energy-efficient cooling technology,REAL
New expressway reduces travel time between major cities,REAL
Health ministry launches nationwide nutrition awareness campaign,REAL
University establishes center for climate research,REAL
Solar-powered irrigation systems adopted by farmers,REAL
Railway network introduces advanced safety monitoring system,REAL
Government funds restoration of historic cultural sites,REAL
Scientists map biodiversity in protected forest region,REAL
New industrial park attracts foreign investment,REAL
Public hospitals receive upgraded diagnostic equipment,REAL
Researchers improve battery lifespan for electric vehicles,REAL
State introduces digital land record management system,REAL
Wildlife conservation efforts increase rhino population,REAL
Government announces scholarship expansion for rural students,REAL
New bridge improves access to remote communities,REAL
Scientists identify sustainable alternative to plastic packaging,REAL
City launches urban farming initiative,REAL
Researchers create low-cost solar water heater,REAL
National employment program supports small businesses,REAL
Airport upgrades runway infrastructure for larger aircraft,REAL
Government promotes renewable energy adoption in industries,REAL
New technology hub opens for startups and innovators,REAL
Scientists publish findings on air pollution reduction methods,REAL
Public transportation network expands suburban connectivity,REAL
State improves emergency disaster response systems,REAL
Researchers study impact of wetlands on flood prevention,REAL
Farmers benefit from improved crop insurance program,REAL
University launches cybersecurity training center,REAL
Government invests in electric vehicle charging stations,REAL
Scientists discover new insect species in rainforest,REAL
Healthcare outreach program reaches underserved regions,REAL
New wastewater treatment plant improves river quality,REAL
Researchers develop smart irrigation monitoring system,REAL
Government expands vocational training opportunities,REAL
Railways introduce energy-efficient locomotives,REAL
Scientists examine long-term climate adaptation strategies,REAL
City implements smart parking management system,REAL
Researchers develop affordable prosthetic limb technology,REAL
Government supports women-led technology startups,REAL
New logistics corridor boosts regional trade,REAL
Scientists discover medicinal compounds in marine organisms,REAL
State launches affordable housing construction initiative,REAL
Public schools receive upgraded science laboratories,REAL
Researchers improve recycling efficiency through automation,REAL
Government announces new forest restoration targets,REAL
Healthcare workers complete vaccination outreach drive,REAL
Scientists monitor ecosystem recovery after conservation efforts,REAL

Aliens open luxury hotel chain on the Moon,FAKE
Dragons replace helicopters in emergency rescue missions,FAKE
Cats discover hidden continent beneath Pacific Ocean,FAKE
Ghost elected president of international sports federation,FAKE
Mermaids begin exporting pearls to Mars colonies,FAKE
Dinosaurs establish successful cryptocurrency startup,FAKE
Talking parrots become national weather forecasters,FAKE
Moon starts charging rent for moonlight usage,FAKE
Invisible sharks found swimming through city streets,FAKE
Aliens create intergalactic amusement park in desert,FAKE
Dragons become certified surgeons in major hospitals,FAKE
Cats launch first submarine powered by cheese,FAKE
Ghost city wins award for best urban planning,FAKE
Mermaids develop underwater internet network,FAKE
Dinosaurs patent anti-gravity skateboards,FAKE
Talking rabbits dominate international stock markets,FAKE
Clouds begin offering wireless internet services,FAKE
Aliens purchase national monuments as vacation homes,FAKE
Flying camels set world speed records in aviation,FAKE
Ghost opens chain of invisible restaurants,FAKE
Dragons manufacture eco-friendly jet engines,FAKE
Cats establish parliament on a floating island,FAKE
Mermaids discover ancient Wi-Fi signals in ocean depths,FAKE
Dinosaurs become professional esports champions,FAKE
Talking dolphins launch social media platform,FAKE
Moon applies for trademark protection worldwide,FAKE
Aliens begin farming diamonds beneath volcanoes,FAKE
Ghost train starts intercontinental passenger service,FAKE
Flying pigs become official postal delivery carriers,FAKE
Dragons teach mathematics at international universities,FAKE
Cats invent machine that translates dreams into text,FAKE
Mermaids organize underwater Olympic Games,FAKE
Dinosaurs establish luxury resorts in Antarctica,FAKE
Talking squirrels discover cure for gravity,FAKE
Aliens install teleportation kiosks in shopping centers,FAKE
Clouds form labor union demanding more rainfall breaks,FAKE
Ghost elected mayor of underwater capital city,FAKE
Flying whales transport cargo across continents,FAKE
Dragons become ambassadors to alien civilizations,FAKE
Cats discover treasure buried inside rainbow,FAKE
Mermaids start airline company for ocean travelers,FAKE
Dinosaurs operate fastest internet network in history,FAKE
Talking penguins publish bestselling economics book,FAKE
Aliens launch interstellar pizza delivery service,FAKE
Moon announces expansion into neighboring planets,FAKE
Ghost invents invisible bicycle for urban commuting,FAKE
Flying elephants establish cargo airline business,FAKE
Dragons build skyscrapers above the clouds,FAKE
Cats win Nobel Prize for underwater archaeology,FAKE
Mermaids develop anti-aging potion from sea foam,FAKE
Government launches national digital literacy campaign,REAL
Scientists discover new method for reducing carbon emissions,REAL
State upgrades rural healthcare centers with modern equipment,REAL
Researchers develop low-cost battery recycling process,REAL
New highway project improves regional trade connectivity,REAL
Health ministry expands maternal healthcare services,REAL
University opens advanced robotics research laboratory,REAL
Farmers adopt satellite-based crop monitoring systems,REAL
Railways introduce AI-powered maintenance inspections,REAL
Government increases funding for clean energy projects,REAL
Scientists identify previously unknown deep-sea organism,REAL
City completes smart water management infrastructure,REAL
Researchers create efficient desalination technology,REAL
New airport terminal enhances passenger capacity,REAL
State launches skill development initiative for youth,REAL
Wildlife authorities report growth in elephant population,REAL
Government approves affordable internet access program,REAL
Scientists develop biodegradable agricultural film,REAL
Public transport network extends service to rural areas,REAL
Researchers study effects of reforestation on biodiversity,REAL
New medical college begins operations in underserved district,REAL
Government introduces incentives for electric mobility,REAL
Scientists discover genetic markers linked to disease prevention,REAL
City starts urban lake restoration project,REAL
Researchers improve energy storage for solar grids,REAL
National museum digitizes historical archives,REAL
Government supports expansion of community health programs,REAL
Scientists monitor migration patterns of endangered birds,REAL
State modernizes emergency communication systems,REAL
Researchers develop smart wearable health monitoring device,REAL
New logistics hub boosts export efficiency,REAL
Government launches initiative for sustainable fisheries,REAL
Scientists discover new mineral deposits in remote region,REAL
Public schools introduce advanced science education modules,REAL
Researchers create eco-friendly concrete alternative,REAL
State expands flood forecasting capabilities,REAL
Government funds restoration of degraded forest lands,REAL
Scientists publish research on renewable fuel production,REAL
New bridge project enhances access to industrial zones,REAL
Healthcare campaign increases awareness of preventive care,REAL
Researchers improve methods for plastic waste conversion,REAL
Government announces investment in semiconductor manufacturing,REAL
Scientists discover new cave ecosystem with rare species,REAL
State upgrades public transportation ticketing systems,REAL
Researchers develop drought monitoring platform for farmers,REAL
Government expands renewable energy training programs,REAL
Scientists study long-term health benefits of exercise,REAL
City implements advanced traffic congestion management tools,REAL
Researchers create low-cost diagnostic kit for infections,REAL
Government launches initiative to improve air quality monitoring,REAL
Aliens purchase entire island to build interstellar zoo,FAKE
Dragons replace trains as public transportation system,FAKE
Cats discover hidden civilization beneath city park,FAKE
Ghost wins international marathon without physical body,FAKE
Mermaids establish underwater fashion industry,FAKE
Dinosaurs become certified accountants in major firms,FAKE
Talking pigeons begin delivering legal advice,FAKE
Moon starts exporting moon dust as luxury perfume,FAKE
Invisible giraffes found living in office buildings,FAKE
Aliens introduce gravity-free amusement rides worldwide,FAKE
Dragons open chain of floating restaurants in the sky,FAKE
Cats invent machine that predicts lottery numbers perfectly,FAKE
Ghost becomes CEO of multinational technology company,FAKE
Mermaids launch submarine taxi service across oceans,FAKE
Dinosaurs develop fastest search engine on Earth,FAKE
Talking goats establish international banking network,FAKE
Clouds begin producing diamonds during thunderstorms,FAKE
Aliens create underwater colony beneath city reservoir,FAKE
Flying turtles become preferred cargo carriers,FAKE
Ghost city elected cultural capital of the world,FAKE
Dragons start manufacturing self-flying bicycles,FAKE
Cats build luxury resorts inside active volcanoes,FAKE
Mermaids discover portal connecting oceans to Mars,FAKE
Dinosaurs become judges in global talent competitions,FAKE
Talking foxes release bestselling financial guide,FAKE
Moon announces plans to host Olympic Games,FAKE
